Year,Month,Day,Open,High,Low,Close,Volume,Adj Close
2001,8,1,121.97,122.7,121.55,122.11000061035156,11940800,82.3748550415039
2001,8,2,123.23,123.25,121.89,122.61000061035156,11070100,82.71215057373047
2001,8,3,122.36,122.36,120.9,121.94000244140625,10816300,82.2601547241211
2001,8,6,121.35,121.51,120.1,120.30000305175781,8550100,81.15380859375
2001,8,7,120.27,121.2,119.91,120.7699966430664,8865100,81.47087860107422
2001,8,8,120.12,121.16,118.43,118.52999877929688,15183800,79.95979309082031
2001,8,9,118.7,118.97,117.86,118.87999725341797,14118500,80.19589233398438
2001,8,10,118.8,119.84,117.34,119.29000091552734,11173300,80.47249603271484
2001,8,13,119.6,119.85,118.81,119.31999969482422,7431600,80.49272155761719
2001,8,14,120.14,120.35,118.8,119.2699966430664,13178100,80.45899963378906
2001,8,15,119.23,119.61,118.08,118.23999786376953,8520600,79.76412200927734
2001,8,16,117.8,118.75,117.0,118.6500015258789,10734700,80.04073333740234
2001,8,17,117.65,117.87,116.01,116.75,11604600,78.759033203125
2001,8,20,116.8,117.9,116.55,117.83000183105469,10417400,79.48756408691406
2001,8,21,117.8,118.54,115.8,115.81999969482422,14480800,78.13168334960938
2001,8,22,116.75,117.43,115.78,117.0199966430664,11752300,78.941162109375
2001,8,23,116.96,117.52,116.49,116.5999984741211,8744100,78.65782165527344
2001,8,24,117.21,119.13,116.74,119.0199966430664,11687700,80.29033660888672
2001,8,27,118.97,119.2,118.26,118.30999755859375,7425100,79.81138610839844
2001,8,28,118.28,118.49,116.58,116.58000183105469,12046600,78.64435577392578
2001,8,29,117.13,117.18,115.17,115.54000091552734,16180000,77.9427490234375
2001,8,30,114.85,115.74,112.04,113.31999969482422,17692600,76.44514465332031
2001,8,31,113.4,114.77,113.13,114.1500015258789,15985400,77.00504302978516
2001,9,4,113.85,116.17,113.37,113.41999816894531,24473400,76.51261138916016
2001,9,5,113.7,114.19,111.95,113.69999694824219,21477100,76.70149993896484
2001,9,6,112.65,113.3,110.77,110.7699966430664,21653000,74.72493743896484
2001,9,7,110.02,111.25,108.63,108.72000122070312,33133900,73.34201049804688
2001,9,10,107.7,110.35,107.7,110.05000305175781,23408700,74.23921966552734
2001,9,17,101.0,106.4,100.0,104.30000305175781,32388700,70.36029815673828
2001,9,18,104.33,105.3,103.36,104.05000305175781,22029200,70.19165802001953
2001,9,19,104.1,104.5,98.56,101.94999694824219,42771800,68.77498626708984
2001,9,20,100.4,101.81,98.56,98.70999908447266,36210900,66.58932495117188
2001,9,21,94.28,98.99,93.8,97.27999877929688,49782100,65.87089538574219
2001,9,24,99.72,101.16,99.06,100.69999694824219,25549600,68.18665313720703
2001,9,25,100.75,102.0,99.9,101.75,25466200,68.89762115478516
2001,9,26,102.35,102.4,100.43,101.38999938964844,18587500,68.65386199951172
2001,9,27,101.25,102.29,100.0,102.2699966430664,20536800,69.24974060058594
2001,9,28,102.98,109.62,102.5,104.44000244140625,21687200,70.71910858154297
2001,10,1,103.9,104.32,102.83,104.2699966430664,20457400,70.60399627685547
2001,10,2,104.0,105.58,103.65,105.58000183105469,19833100,71.49105072021484
2001,10,3,104.6,107.88,104.35,107.3499984741211,32045800,72.68955993652344
2001,10,4,108.29,108.97,106.75,107.44000244140625,32674100,72.7505111694336
2001,10,5,107.25,107.62,105.52,107.2300033569336,29796100,72.6082763671875
2001,10,8,106.27,107.3,105.87,106.52999877929688,12970300,72.13430786132812
2001,10,9,106.61,106.75,105.6,105.95999908447266,15976300,71.74834442138672
2001,10,10,105.8,108.55,105.52,108.31999969482422,19987400,73.34636688232422
2001,10,11,108.95,110.3,108.95,110.0,23006300,74.48393249511719
2001,10,12,109.15,109.89,107.3,109.5,31360500,74.14537811279297
2001,10,15,108.63,109.45,108.06,109.30000305175781,16873000,74.00993347167969
2001,10,16,109.8,110.61,108.95,109.98999786376953,15877100,74.47714233398438
2001,10,17,111.07,111.15,107.65,107.6500015258789,28542300,72.89265441894531
2001,10,18,107.82,108.16,106.75,107.41999816894531,16510000,72.73693084716797
2001,10,19,107.0,107.91,106.01,107.3499984741211,21912500,72.68955993652344
2001,10,22,107.3,109.57,107.21,109.47000122070312,17540600,74.12504577636719
2001,10,23,109.96,110.28,108.38,108.91000366210938,22062500,73.74584197998047
2001,10,24,108.98,109.45,108.22,108.62000274658203,16065200,73.54949188232422
2001,10,25,107.45,110.6,106.74,110.56999969482422,27467900,74.86988067626953
2001,10,26,109.95,111.79,109.67,110.31999969482422,18623300,74.7005844116211
2001,10,29,110.16,110.55,107.45,107.44999694824219,18727500,72.75724792480469
2001,10,30,107.35,107.7,105.56,106.16000366210938,26178600,71.88374328613281
2001,10,31,106.9,107.86,105.8,105.80000305175781,28124200,71.63999938964844
2001,11,1,106.6,109.01,105.7,108.51000213623047,29806800,73.4749755859375
2001,11,2,108.44,109.38,107.87,109.25,17575900,73.97608947753906
2001,11,5,110.12,111.09,109.95,110.68000030517578,15929500,74.9443588256836
2001,11,6,110.35,112.48,109.85,112.4000015258789,23245800,76.1090087890625
2001,11,7,111.77,113.12,111.64,112.25,19716000,76.0074691772461
2001,11,8,112.87,114.08,111.9,112.5999984741211,22563500,76.24446868896484
2001,11,9,112.25,112.96,111.44,112.72000122070312,15895800,76.32569122314453
2001,11,12,111.0,112.65,110.0,112.02999877929688,26068800,75.85847473144531
2001,11,13,113.44,114.55,113.18,114.55000305175781,15296200,77.56482696533203
2001,11,14,115.17,115.4,113.71,114.66000366210938,17571300,77.63935089111328
2001,11,15,114.37,115.18,113.93,114.87000274658203,19470200,77.78154754638672
2001,11,16,115.08,115.1,113.4,114.36000061035156,18134900,77.4361801147461
2001,11,19,114.92,115.85,114.45,115.7699966430664,13625400,78.39091491699219
2001,11,20,115.37,115.8,114.64,114.80000305175781,16209700,77.7341537475586
2001,11,21,114.5,114.67,113.51,114.04000091552734,11470200,77.21954345703125
2001,11,23,114.04,115.75,114.0,115.68000030517578,6717100,78.32998657226562
2001,11,26,115.75,116.34,115.07,115.93000030517578,13726000,78.499267578125
2001,11,27,115.62,116.9,114.09,115.43000030517578,19261400,78.16075897216797
2001,11,28,114.74,115.17,113.25,113.33999633789062,20195500,76.74552154541016
2001,11,29,113.66,114.92,113.0,114.87000274658203,16354700,77.78154754638672
2001,11,30,114.4,114.91,114.02,114.05000305175781,13680300,77.22626495361328
2001,12,3,113.65,114.08,113.01,113.37000274658203,15220400,76.76586151123047
2001,12,4,113.92,115.3,113.35,115.29000091552734,17239900,78.06594848632812
2001,12,5,115.61,118.0,115.56,117.4000015258789,25204000,79.4946517944336
2001,12,6,117.34,117.94,116.93,117.33999633789062,17972900,79.45404052734375
2001,12,7,116.9,117.09,115.7,116.55999755859375,18857800,78.92589569091797
2001,12,10,115.85,116.39,114.35,114.37999725341797,13862700,77.44975280761719
2001,12,11,114.9,115.72,113.9,114.1500015258789,20833300,77.29400634765625
2001,12,12,114.55,114.78,113.11,114.27999877929688,16171500,77.38202667236328
2001,12,13,113.45,113.7,112.04,112.05999755859375,19026700,75.87879943847656
